citation_key,decision,confidence,reason
Fu2019,include,0.97,ML/DLが主要構成要素であり（エンコーダ・ツリーデコーダ・誤り訂正機構）、目的がバイナリから高級言語コード／ASTを生成するデコンパイルで、入力はバイナリ、出力は高級言語相当のコード/ASTであるため、全IN要件を満たす。
Gao2025,exclude,0.95,ベンチマーク・評価論文であり、ML/DLは評価手段に過ぎず、デコンパイルや可読性向上が主目的ではないため除外
Green2024,exclude,0.87,ML/DL が主要手法として用いられておらず、軽量なトークンマッチング手法が中心なので IN1 を満たさず、除外（EX-IN1）となります。
Harrand2019,exclude,0.96,本稿は Java バイトコードデコンパイラのベンチマーク調査であり、機械学習・ディープラーニングを手法の中心に用いていない（ML/DLが中核でない）ため、EX‑IN1 に該当し除外します。
Harrand2020,exclude,0.96,本文からは機械学習・深層学習が提案手法の中核である旨が示されておらず、単なる従来デコンパイラの統合手法の紹介であるため、IN1を満たさず除外（EX-IN1）
He2025,exclude,0.96,論文の主目的は継続学習による知識保持であり、デコンパイルや可読性向上は副次的な評価タスクにすぎないため、目的が対象外（EX-A）です。
He2025,exclude,0.95,主目的がデコンパイルや可読性向上ではなく、デコンパイル済みコード上でのマルウェア分析タスク（関数識別・目的要約）のベンチマーク評価であるため、IN2を満たさず除外
Hosseini2022,include,0.95,ニューラル機械翻訳を中心に利用し、アセンブリから高級言語ソースへの復元（デコンパイル）を主目的とし、入力はアセンブリ、出力は C/Go/Fortran/OCaml などの高級言語コードであるため、全条件を満たす。
Hussain2025,exclude,0.95,目的がバイナリ脆弱性検出であり、デコンパイルや可読性向上が主目的ではないため（EX-A3）。
Jiang2025,exclude,0.93,主目的はLLMの中間表現理解評価であり、デコンパイルは副次的タスクにすぎないため、目的がデコンパイル/可読性向上ではなく除外基準EX‑Aに該当する。
Jiang2025,exclude,0.92,主出力がアセンブリコード（低レベルIR）であり、高級言語ソースや高級化された擬似コードへの変換ではないため、スコープ外のIR‑only出力（EX‑B1）に該当します。
Katz2019,include,0.98,ニューラル機械翻訳を中心としたML手法で、低レベル表現（LLVM IR・x86 アセンブリ）から C ソースコードへのデコンパイルを主目的としており、入力・出力がスコープ内に該当するため。
KC2023,exclude,0.96,サーベイ論文であり、新規なMLベースのデコンパイル手法の提案・評価がなく、対象外の論文タイプ（EX-C1）に該当するため
Kim2023,exclude,0.96,目的がバイナリのマルウェア検出・分類であり、デコンパイルや可読性向上が主目的ではないため（EX-A）
Kumar2018,exclude,0.98,本研究は静的制御フロー難読化技術の体系的調査・分類が主目的で、機械学習・ディープラーニングは使用しておらず、デコンパイルや可読性向上が目的ではないため、IN1が満たされず除外（EX-IN1）。
Lacomis2019,include,0.9,ML/DL（ニューラル手法）が中心で、デコンパイル後のコードの変数名を復元することが主目的であり、入力はバイナリ/デコンパイル出力、出力は可読性向上した擬似コード（変数名付き）と解釈できるため、全てのIN条件を満たす。
Lagouvardos2025,exclude,0.96,研究は静的解析ベースのデコンパイラ手法に焦点を当てており、機械学習／深層学習が中心技術として用いられていない（IN1未達成）のため除外
Li2019,include,0.96,本文は注意機構を持つTransformerベースのニューラル機械翻訳モデルを中心に用い、バイトコードから高水準のJavaソースコードへの復元（デコンパイル）を主目的としているため、IN1・IN2・IN3すべてを満たす。
Li2020,exclude,0.95,目的がバイトコードの自然言語説明生成であり、ソースコードや高級擬似コードへの復元・高級化ではないため（IN2未達成）。
Li2025,include,0.9,ML/LLM を中核に据え、バイナリ実行ファイルから高レベルモデル（ソース相当の表現）を復元することを主目的としているため、IN1・IN2・IN3 をすべて満たす
Li2025,exclude,0.96,目的がバイナリパッチの検出（分類）であり、デコンパイルやコードの高級化が主目的ではないため EX-A3（パッチ検出）に該当します。
Liang2021,include,0.96,ニューラル機械翻訳を中心に用いたデコンパイル手法で、低レベルバイナリを高級言語（C/C++）へ変換し可読性向上を目的としている。入力はバイナリ、出力は高級言語コードであり、すべてのスクリーニング基準（IN1・IN2・IN3）を満たすため。
Liao2025,include,0.95,ML/DL（LLM）が中心で、デコンパイル出力の高級化・可読性向上を主目的とし、入力はバイナリ/デコンパイラ出力、出力は高級言語相当のコードであるため、全基準を満たす。
Liu2021,exclude,0.98,ML/DLが研究の中核になっておらず、目的は検証・LTL解析でありデコンパイル・可読性向上が主目的ではないため除外
Liu2022,include,0.9,MLベースの手法が中心で、バイナリ実行ファイルを入力として高レベルのDNNモデル仕様を出力するデコンパイル研究であるため、IN1・IN2・IN3すべてを満たす。
Liu2025,include,0.95,LLM を中心に用いたエンドツーエンドのバイナリデコンパイル手法で、バイナリ(＋CFG・データマッピング)から高可読性のソースコードを生成することが主目的であり、入力・出力が範囲内なので採択
Manuel2024,exclude,0.96,目的は脆弱性検出・分類であり、デコンパイルやコード高級化が主目的ではなく、脆弱性分析（EX-A3）に該当するため除外
Manuel2025,exclude,0.96,目的がデコンパイルや可読性向上ではなく、デコンパイルとソースコードのマッピングによるデータセット生成であり、ML/DLは手段に過ぎないため、IN2/IN1 を満たさず除外（EX-A）となります。
Mihajlenko2021,exclude,0.96,本文では機械学習・ディープラーニングを中心技術として使用していない（アルゴリズムは手法ベースでPython実装）ため、IN1を満たさず除外（EX-IN1）。
Nandi2020,exclude,0.96,ML/DLが主要要素でなく、入力は三角形メッシュであり範囲外（バイナリ/アセンブリ/デコンパイラ出力ではない）
Palmarini2024,exclude,0.92,目的がバイナリやアセンブリから高級コードを復元・可読性向上することではなく、ニューラル探索ポリシーからプログラムコンポーネントを抽出し検索効率を向上させることにあるため、IN2を満たさず除外 (EX-A) と判断した。
Pearce2022,exclude,0.96,目的がプログラムの目的や変数情報の抽出（識別）であり、バイナリから高級言語コードや擬似コードへの復元・高級化ではないため、EX-A1（目的が識別/抽出）に該当します。
Pochelu2024,exclude,0.9,ML/DL が手法の中核でなく、単なるツール・解析であり、機械学習モデルは使用されていないため（EX‑IN1）。
Pordanesh2024,exclude,0.9,目的がLLMの逆向きエンジニアリングにおける解釈・説明性能の評価であり、バイナリから高級言語コードを復元・可読性向上することが主目的ではない（EX-A4: summarization/ explanation が主目的）。
Qin2024,exclude,0.96,ML/DLが研究の中心要素でなく、デコンパイルの可読性評価が主目的であり、デコンパイル／高級化そのものの改善を目的としていないため
Rao2024,exclude,0.97,ML/DLが研究の中心でなく、入力がハードウェアのゲートレベルネットリストであり、スコープ対象外（EX-IN1・EX-B4）
Reis2020,exclude,0.96,抽象に機械学習・深層学習の利用が記載されておらず、ML/DLが研究の中核でないため
Reiter2023,exclude,0.96,本文に機械学習／深層学習の利用が示されておらず、ML/DLが研究の中核ではない（EX-IN1）
Ringer2021,exclude,0.97,本文はCoq証明の自動修復とタクティクスへの変換を扱っており、ML/DLは使用されていない上に、デコンパイルやコードの可読性向上が主目的ではないため、IN1・IN2を満たさず除外となります。
Saul2024,exclude,0.96,目的がバイナリ関数の類似性検出（検索）であり、デコンパイルや可読性向上が主目的でないため除外
Shang2025,exclude,0.96,ベンチマーク・評価研究であり、復元手法そのものの新規ML提案が主旨でないため（EX-C1）
She2024,include,0.95,LLM が中心技術であり、Wasm バイナリを高レベルのソースコードに復元することが主目的で、入力はバイナリ、出力は可読な高級コードであるため、IN1・IN2・IN3 をすべて満たす。
Shokri2023,exclude,0.9,ML/DLが中心ではなく（進化的探索はML/DLに該当せず）、目的が制御アルゴリズムの数式再構築であり、ソースコードや擬似コードの復元・高級化ではないため
Slawinski2019,exclude,0.95,主目的がマルウェアの分類であり、デコンパイルは前処理に過ぎずデコンパイル／可読性向上が目的ではないため除外
Smith2024,exclude,0.95,ML/DLが中核で使われておらず、ハードウェアのネットリストを対象とした等価飽和手法であり、デコンパイル研究の対象外です。
Stuglik2023,exclude,0.95,本文に機械学習・ディープラーニングが用いられている記述がなく、手法はルールベースの自動並列化であり、ML/DLが中核ではない（EX‑IN1）ため
Szafraniec2023,exclude,0.9,ML/DLは中心だが、主目的はコード翻訳（言語間トランスパイル）であり、デコンパイルや可読性向上が目的ではないため、EX‑A（目的が別タスク）に該当する。
Tan2024,include,0.95,ML/DL（LLM）が中心で、目的はバイナリから高級言語コードへのデコンパイル・可読性向上で、入力はバイナリ、出力は高級言語ソースであるため、全条件を満たす
Tan2025,include,0.96,LLMを中心に用いた二段階デコンパイル手法で、入力はバイナリ、出力は高級言語レベルのコード（識別子付与）であり、目的がデコンパイルと可読性向上のため、基準をすべて満たす
Tan2025,exclude,0.95,本論文はLLMデコンパイル評価用の大規模データセットとベンチマークを提供するだけで、ML/DL を中核とした新手法の提案がなく、データセット・ベンチマーク論文（EX-C1）に該当するため除外
Thurnherr2024,exclude,0.92,入力がバイナリ/アセンブリ/既存デコンパイラ出力ではなくニューラルネットワークの重みであり、スコープ外（IN3未達成）
Udeshi2024,exclude,0.92,本文の要旨では機械学習・ディープラーニングの利用が示されておらず、ML/DLが提案の中核になっていない（EX-IN1）。デコンパイルや高級化は目的であるものの、ML/DLが主要手法でないため除外対象となります。
Verbeek2025,exclude,0.95,本文は機械学習・深層学習を用いた手法ではなく、二進レベルのポインタ解析が主目的で、デコンパイルや可読性向上が主目的ではないため、IN1・IN2を満たさず除外
Wan2025,exclude,0.9,ML/DLは中心だが、入力が画像でありバイナリ／アセンブリ／既存デコンパイラ出力のいずれでもなく、スコープ外の入力のため除外（EX-B）
Wang2023,exclude,0.95,目的がスマートコントラクトの脆弱性検出であり、デコンパイルは前処理に過ぎないため、EX-A3（脆弱性検出が主目的）に該当する
Wang2025,include,0.95,LLMを用いたハイブリッドデコンパイル手法で、バイナリから再コンパイル可能な高級言語コードを生成することが主目的であり、ML/DLが提案の中心で、入力はバイナリ、出力は高級コードという範囲に合致するため。
Wang2025,include,0.96,LLMを用いた手法が中心で、バイナリから高級言語コードを生成するデコンパイル（可読性向上）が主目的。入力はバイナリ/アセンブリ、出力はソースコードであり除外条件に該当しない。
Wang2025,exclude,0.95,目的がEthereumスマートコントラクトのセキュリティ診断・レポート生成であり、デコンパイルや可読性向上は手段に過ぎず、主出力はコードではなく診断結果なので除外対象（EX-A4）です。
Wong2023,include,0.95,LLM を中心とした手法で、デコンパイル出力を再コンパイル可能な高級 C ソースへ改善することが主目的であり、入力はデコンパイラ出力、出力は高級言語ソースコードという範囲に合致するため。
Wu2023,exclude,0.95,目的はChatGPTのセキュリティタスク全般に対する評価であり、デコンパイルや可読性向上が主目的ではなく副次的なタスクに過ぎないため、EX-A（デコンパイルが手段）に該当する
Wu2024,exclude,0.96,本文・要旨に機械学習・深層学習が使用されている記述がなく、デコンパイラ評価のベンチマーク研究であるため、ML/DLが中核でない（EX‑IN1）
Xie2025,exclude,0.92,入力が量子回路（量子アセンブリ）であり、対象がソフトウェアバイナリ／アセンブリのデコンパイル範囲外のため
Xu2024,exclude,0.78,ML/DLは中心だが、主な出力が変数名（ラベル）であり高級言語のソースコードや擬似コードの復元ではないため、IN3を満たさずEX-B3に該当する
You2024,exclude,0.92,本文では機械学習やディープラーニングモデルを利用した手法が示されておらず、ML/DL が研究の中核ではないため（EX‑IN1）。
Zhang2024,exclude,0.96,目的はマルウェア検出（分類）であり、デコンパイルや可読性向上が主目的ではなく、ML/DLは検出性能向上の手段として使用されているため
Zhang2025,exclude,0.96,ML/DLが研究の中核ではなく、形式手法（CF‑GKAT）の検証・等価性証明が主目的なのでIN1を満たさず、EX‑IN1に該当します。
Zhou2025,include,0.95,ML/DL（RAGとLLM）が中核であり、目的はデコンパイル結果の可読性向上・高級化で、入力はデコンパイラ出力、出力は修正された高級コードであるため、すべてのIN条件を満たす。
Zhou2025,exclude,0.96,本文はRustバイナリのデコンパイル品質評価を行う実証研究であり、機械学習やディープラーニングを手法の中心に用いていない（ML/DLが中核であるという記述がなく、評価はベンチマークと解析に基づく）。したがってIN1を満たさず、EX-IN1で除外。
Zou2025,include,0.96,LLM を中心とした学習手法でデコンパイラ出力を高品質なソースコードに変換することを主目的としており、入力はバイナリ／デコンパイラ出力、出力は可読性向上した高級言語コードで、除外条件に該当しないため。
